open,high,low,close,volume,market,viable
0.01003,0.01053,0.00953,0.01052,21,16784,1
0.00018,0.00021,0.00013,0.00013,22,34431,1
1.00E-05,2.00E-05,1.00E-05,1.00E-05,55,27901,1
0.42214,0.54425,0.37148,0.3909,47250,2646020,1
0.02105,0.02392,0.02105,0.02293,490,136318,1
0.00059,0.00068,0.00059,0.00061,104,40237,1
0.02179,0.02588,0.02179,0.02349,705,143220,0
0.02524,0.0322,0.01833,0.02398,66736,6312080,1
0.02041,0.05419,0.02041,0.0414,1015,37372,1
1.84,2.09,1.8,1.85,15418800,152797000,1
0.00229,0.00253,0.00229,0.00236,4,52991,1
0.00128,0.00129,0.001,0.00119,275,29470,1
0.00015,0.00015,1.00E-04,0.00013,2028,214632,1
1.76,1.78,1.74,1.76,29218,16548900,1
0.0471,0.04923,0.04503,0.04602,21327,802663,1
0.01747,0.01748,0.01628,0.01633,70,20662,0
0.00244,0.00265,0.00242,0.00257,54,25788,1
7.00E-04,0.00082,0.00065,0.00075,229,511607,0
0.00863,0.00876,0.00532,0.00584,267706,1637770,1
0.00149,0.00172,0.00148,0.00167,3,2525,1
0.08127,0.10341,0.06287,0.06676,3871,1882410,0
2.00E-05,5.00E-05,2.00E-05,2.00E-05,21,5167,1
0.00016,2.00E-04,0.00014,2.00E-04,159,220817,1
0.01333,0.01383,0.01039,0.01301,1526,43914,1
0.47512,0.49557,0.47027,0.48005,56677,18185600,1
0.3016,0.30213,0.27095,0.29267,38,10277,1
0.00042,0.00042,0.00031,0.00042,9,7793,1
0.19473,0.20292,0.17601,0.1843,12772,2442580,0
0.00089,9.00E-04,0.00088,9.00E-04,83,38650,1
0.00013,0.00014,0.00013,0.00014,69654,13172900,1
0.00558,0.00558,0.00486,0.00517,4910,1386560,1
0.03114,0.23672,0.02987,0.12689,724870,823121,1
0.12902,0.13079,0.12263,0.12584,990192,12914500,0
0.00034,0.00034,0.00033,0.00033,11,153877,1
0.00038,0.00038,0.00035,0.00035,216,161292,1
3.77,3.78,3.71,3.72,1480630,164389000,1
0.00273,0.00275,0.00142,0.00186,1011,28932,1
0.03867,0.03907,0.03474,0.03769,2740,490353,1
2.75,2.81,2.42,2.65,27131,7291940,1
0.00027,0.00027,0.00026,0.00026,8,2558,1
0.00196,0.00197,0.0018,0.0018,2079,598869,1
0.00011,0.00012,7.00E-05,1.00E-04,22,1129,1
0.84186,0.86437,0.64777,0.70835,37986,721738,1
0.00031,0.00079,0.00017,0.00069,13733,194420,1
0.00015,2.00E-04,0.00014,0.00015,29,1565,1
5.00E-05,5.00E-05,3.00E-05,3.00E-05,6,28618,1
0.03699,0.03953,0.03563,0.03592,799,244626,1
0.00146,0.00276,0.00134,0.00254,180,27097,1
7.00E-05,8.00E-05,7.00E-05,7.00E-05,9,38776,1
0.42857,0.48808,0.42857,0.44443,2843,15138100,1
0.00589,0.00596,0.00586,0.00593,14,11233,0
0.00069,0.00069,0.00063,0.00065,36,15122,1
6.00E-05,6.00E-05,5.00E-05,5.00E-05,2,9180,1
0.00185,0.00215,0.00184,0.00197,785,13771,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,1,29505,1
0.00499,0.00549,0.00397,0.00455,666,552855,1
0.00013,0.00013,0.00013,0.00013,22,17926,1
0.00022,0.00022,0.00016,0.00016,10,2835,1
0.03595,0.03595,0.02645,0.0305,2447,1430880,1
0.39733,0.3984,0.36338,0.39039,1247,377127,1
0.00487,0.00511,0.0048,0.00498,1065,38894,1
0.02054,0.02141,0.02039,0.02097,417,151249,1
0.36557,0.42377,0.2991,0.29941,3234,529564,1
0.01628,0.01648,0.01208,0.0133,4565,626670,1
0.00023,0.00023,0.00022,0.00023,113130,24483800,1
3.14,3.18,2.45,3.01,2366,610134,1
0.18981,0.23475,0.14911,0.20466,437,56149,1
0.00187,0.00199,0.00181,0.00195,133,14730,1
0.01577,0.01618,0.01577,0.01617,3,829341,1
0.15235,0.21214,0.13867,0.15124,692,272771,1
0.00052,6.00E-04,0.00051,0.00051,10,8178,1
6.00E-05,7.00E-05,6.00E-05,6.00E-05,2196,429358,1
0.00028,0.00028,0.00027,0.00027,2,5900,1
0.00103,0.00111,0.00097,0.00097,10,32079,1
0.00021,0.00021,0.00018,0.00019,917,298798,1
0.00198,0.00215,0.00191,0.00195,128,13246,1
0.16538,0.17002,0.15668,0.16208,322,348998,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,6,4869,1
0.3457,0.37109,0.33842,0.36135,112764,8374550,1
0.00038,0.00042,0.00036,0.00039,8,4396,1
0.23128,0.23688,0.08882,0.17861,25148,391486,1
